District	Lineage	2020-3	2020-4	2020-5	2020-6	2020-7	2020-8	2020-9	2020-10	2020-11	2020-12	2021-1	2021-2	2021-3	2021-4	2021-5	2021-6	2021-7	2021-8	2021-9
Porto	B.1.525	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0
Porto	AY.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
Porto	AY.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
Porto	B.1.620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Porto	B.1.1.1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porto	B.1.621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0
Porto	AY.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
Porto	AY.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Porto	AY.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Porto	C.16	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0
Porto	AY.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1
Porto	B.1.214.2	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0
Porto	B.1.177.44	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0
Porto	B.1.610	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porto	AY.5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	2
Porto	B	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porto	AY.5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	1	0
Porto	AY.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	3
Porto	AY.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6
Porto	AY.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	6
Porto	AY.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	5
Porto	B.1.177.52	0	0	0	0	0	0	0	0	11	1	1	4	1	0	0	0	0	0	0
Porto	B.1.351	0	0	0	0	0	0	0	0	0	0	0	0	14	4	0	1	0	0	0
Porto	P.1	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0	7	1	1	0
Porto	B.1.160	0	0	0	0	0	0	0	0	7	1	5	11	2	1	0	0	0	0	0
Porto	B.1.177.85	0	0	0	0	0	0	0	0	13	1	9	3	3	1	0	0	0	0	0
Porto	B.1.177.72	0	0	0	0	0	0	0	0	16	0	6	8	1	1	0	0	0	0	0
Porto	B.1.177.32	0	0	0	0	0	0	0	0	16	0	11	10	1	0	0	0	0	0	0
Porto	B.1.177	0	0	0	0	0	0	0	0	20	0	9	10	6	0	0	0	0	0	0
Porto	B.1	45	2	0	0	0	0	0	0	4	0	1	6	0	0	0	0	0	0	0
Porto	B.1.91	73	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porto	AY.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	28	27	14
Porto	AY.7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	45	24	26
Porto	B.1.1	132	13	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0
Porto	AY.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	129	65	44
Porto	B.1.617.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	190	129	163
Porto	B.1.1.7	0	0	0	0	0	0	0	0	0	9	7	54	114	256	125	147	6	0	0
Vila Real	AY.5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
